enter_time,complete_time
1610172784530767,1610172784587409
1610172784530972,1610172784643915
1610172784531109,1610172784703746
1610172784531270,1610172784775141
1610172785531476,1610172785591374
1610172785531681,1610172785651468
1610172785531828,1610172785710803
1610172785531941,1610172785770451
1610172785532082,1610172785830105
1610172785532219,1610172785889718
1610172785532359,1610172785949458
1610172785532498,1610172786008845
1610172785532636,1610172786068094
1610172785532777,1610172786127473
1610172785532916,1610172786186757
1610172785533055,1610172786246337
1610172785533195,1610172786305828
1610172785533333,1610172786365287
1610172785533471,1610172786424685
1610172785533609,1610172786484199
1610172785533749,1610172786543665
1610172785533888,1610172786603326
1610172785534028,1610172786663234
1610172785534166,1610172786723162
1610172785534305,1610172786782717
1610172785534441,1610172786842094
1610172785534580,1610172786901692
1610172785534717,1610172786961328
1610172785534855,1610172787020866
1610172785534992,1610172787080459
1610172785535142,1610172787181622
1610172785535281,1610172787241145
1610172785535418,1610172787300586
1610172786535638,1610172787360315
1610172786535797,1610172787419874
1610172786535942,1610172787479570
1610172786536085,1610172787538939
1610172786536225,1610172787598265
1610172786536369,1610172787657479
1610172786536514,1610172787716742
1610172786536661,1610172787776139
1610172786536805,1610172787835855
1610172786536949,1610172787895525
1610172786537094,1610172787955150
1610172786537237,1610172788014736
1610172787537445,1610172788074922
1610172787537636,1610172788134260
1610172787537789,1610172788193871
1610172787537930,1610172788253333
1610172787538068,1610172788312856
1610172787538272,1610172788372190
1610172787538428,1610172788431611
1610172787538572,1610172788491036
1610172787538713,1610172788550506
1610172787538851,1610172788609949
1610172787538996,1610172788669765
1610172787539151,1610172788729406
1610172787539292,1610172788789058
1610172787539433,1610172788848454
1610172787539576,1610172788908001
1610172787539716,1610172788967490
1610172787539856,1610172789027086
1610172787539996,1610172789086589
1610172787540138,1610172789146055
1610172787540279,1610172789205528
1610172787540421,1610172789265128
1610172787540562,1610172789324474
1610172787540703,1610172789383787
1610172787540845,1610172789443639
1610172787540985,1610172789503009
1610172787541125,1610172789562295
1610172787541265,1610172789621572
1610172787541407,1610172789680998
1610172787541548,1610172789740343
1610172787541690,1610172789799761
1610172787541832,1610172789859286
1610172787541974,1610172789919758
1610172787542118,1610172789979351
1610172787542260,1610172790038837
1610172787542402,1610172790098256
1610172787542549,1610172790157988
1610172787542692,1610172790217491
1610172787542836,1610172790276929
1610172787542981,1610172790394176
1610172787543134,1610172790457125
1610172787543282,1610172790520201
1610172787543426,1610172790583283
1610172787543569,1610172790646951
1610172787543721,1610172790710003
1610172787543899,1610172790773131
1610172787544059,1610172790836355
1610172788544270,1610172790899937
1610172788544437,1610172790963023
1610172788544589,1610172791026287
1610172788544740,1610172791089424
1610172788544890,1610172791152547
1610172788545040,1610172791215824
1610172788545191,1610172791278969
1610172790545435,1610172791342148
1610172790545637,1610172791405281
1610172790545794,1610172791468499
1610172790545949,1610172791532009
1610172790546101,1610172791594903
1610172790546254,1610172791658295
1610172790546408,1610172791721818
1610172790546566,1610172791784975
1610172790546720,1610172791848029
1610172790546875,1610172791911397
1610172790547029,1610172791974631
1610172790547186,1610172792037615
1610172790547342,1610172792100943
1610172790547500,1610172792164247
1610172790547655,1610172792227712
1610172790547813,1610172792290849
1610172790547970,1610172792354016
1610172790548122,1610172792417257
1610172790548273,1610172792480282
1610172790548423,1610172792543501
1610172790548595,1610172792606606
1610172790548768,1610172792669905
1610172790548931,1610172792733258
1610172790549100,1610172792796470
1610172790549263,1610172792859765
1610172791549476,1610172792923406
1610172791549670,1610172792986585
1610172791549827,1610172793049823
1610172791549993,1610172793113142
1610172791550150,1610172793176027
1610172791550307,1610172793239183
1610172791550468,1610172793302412
1610172792550687,1610172793365472
1610172792550861,1610172793428917
1610172792551020,1610172793492169
1610172792551180,1610172793555425
1610172792551340,1610172793618804
1610172792551496,1610172793681875
1610172792551653,1610172793745007
1610172792551809,1610172793808076
1610172792551967,1610172793871311
1610172792552127,1610172793934579
1610172792552297,1610172793997767
1610172792552468,1610172794060962
1610172792552651,1610172794124428
1610172793552890,1610172794187978
1610172793553094,1610172794251135
